"Variable_Name","Readable_Variable_Name","Measurement_Unit","Allowed_Values","Definition_of_the_Variable"
"FIPS Code","FIPS_Code","Integer","Numeric Code","The numeric Federal Information Processing Standards (FIPS) identifier for the state/area."
"State/Area","State","String","State Name or Area","Name of the state/area."
"Year","Year","yyyy","1976-2022","Year of the tracked statistics for the state/area."
"Month","Month","mm","1-12","Month of the tracked statistics for the state/area."
"Total Civilian Non-Institutional Population in State/Area","Non-Institutional_Civilian_Population","Character","Non-negative Integer","Total number of non-institutionalized civilians residing in the state/area."
"Total Civilian Labor Force in State/Area","Eligible_Labor_Force","Character","Non-negative Integer","Total number of civilians eligible for employment that reside in the state/area."
"Percent (%) of State/Area's Population","Labor_Force_Participation_Rate","Numeric","0.0-100.0","Percent of civilians eligible for employment out of the total non-institutionalized civilian population."
"Total Employment in State/Area","Total_Employment","Character","Non-negative Integer","Total number of civilians currently employed in the state/area."
"Percent (%) of Labor Force Employed in State/Area","Employment_Rate","Numeric","0.0-100.0","Percent of currently employed civilians out of the total non-institutionalized civilian population."
"Total Unemployment in State/Area","Total_Unemployment","Character","Non-negative Integer","Total number of civilians currently unemployed in the state/area."
"Percent (%) of Labor Force Unemployed in State/Area","Unemployment_Rate","Numeric","0.0-100.0","Percent of currently unemployed civilians out of the total non-institutionalized civilian population."
